minimum_support,maximum_opposition,target_taxon,selected_direction,signal_classification,family_count,conflict_family_count,direction_counts_json,policy_hash
1,1,Ruminococcus 2,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Sarcina,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Selenomonas,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Streptococcus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Turicibacter,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Veillonella,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,2,Acidaminococcus,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Acinetobacter,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Actinomyces,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Alloprevotella,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Anaerostipes,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Anaerotruncus,,not_retained,2,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Atopobium,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Blautia,increased_in_hcc,retained,2,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":2}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Butyricimonas,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Cetobacterium,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Cloacibacillus,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Clostridium XIVa,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Coprobacillus,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Desulfococcus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Enterobacter,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Enterococcus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Eubacterium,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Eubacterium ventriosum group,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Fusobacterium,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Gemmiger,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Haemophilus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Holdemania,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
